run,sigOBS,sigPRO,muEI1,muI1S1,muI1I2,muI2S2,muS2S1,rho,bT,q,c,delta,S1_0,S2_0,E_0,I1_0,I2_0,K_0,F_0,loglik,loglik.se
7,0.624585075,0.002452853,30.26507011,5.764495369,42.47725723,0.3189,0.011877083,0.976564946,0.706233627,0.984325241,0.033333161,0.02,0.639218678,0.003173077,0.00017145,0.062315246,0.295121548,0.004291034,0.005408261,-366.3308202,0.001427502
7,0.630225484,0.001256328,35.73229593,5.098479165,26.41206938,0.3189,0.007688883,0.974222495,0.709019946,0.995735433,0.03057474,0.02,0.63664587,0.002106582,0.000129959,0.02604348,0.335074109,0.013560792,0.007946227,-366.4261716,0.000527442
7,0.610447402,0.031873306,36.88222747,6.489715845,30.4695594,0.3189,0.004805352,0.966208995,0.715471364,0.979787173,0.090923611,0.02,0.588618031,0.00736297,0.000257505,0.231719027,0.172042466,0.016458706,0.014526901,-366.481222,0.015080168
6,0.332647542,0.238207712,38.42711197,4.143225703,18.21204288,0.6855,0.031875018,0.96556601,0.613528129,0.935085961,0.510490729,0.02,0.653943295,0.00616293,0.000606669,0.126363999,0.212923107,0.017335911,0.014434651,-366.4907227,0.086233027
19,0.330874817,0.239285357,52.65199755,1.614936294,2.725530252,0.7475,0.017011672,0.93718402,0.593971503,0.934862416,0.972921155,0.02,0.317437196,0.001552771,0.000233693,0.676739859,0.004036481,0.062059741,0.052283203,-366.4951017,0.159852066
15,0.377365025,0.321763412,16.79800132,3.116635528,35.28296074,0.1491,0.005988114,0.995518281,0.534590166,0.906235481,0.999464608,0.02,0.655297291,0.015390927,0.000567006,0.296629748,0.032115028,0.064255529,0.014214618,-366.5056596,0.227330229
18,0.317043048,0.265021472,59.05686369,1.612967455,4.826976668,0.3173,0.005910665,0.874244065,0.697561326,0.813442337,0.607129283,0.02,0.639369619,0.003164708,0.001224013,0.001256765,0.354984896,0.011698627,0.011953396,-366.515917,0.322627502
19,0.246397516,0.2781776,66.2199404,5.05688533,5.155865384,0.7475,0.010355433,0.895065759,0.689867228,0.938262981,0.998857423,0.02,0.008244007,0.001085689,0.000395095,0.989281417,0.000993791,0.092211481,0.139398742,-366.5285792,0.30322411
26,0.277699623,0.237220105,37.2893203,4.754885739,18.77231296,0.6857,0.123914047,0.976089904,0.689166818,0.964529288,0.03604251,0.02,0.586100591,0.002161739,0.001312902,0.088960561,0.321464206,0.04615676,0.020850724,-366.5465027,0.21763934
6,0.270542168,0.294052359,33.79742631,12.8625429,9.303458274,0.6855,0.085576756,0.947503559,0.823103192,0.963520989,0.193086826,0.02,0.442965549,0.007096378,0.000248189,0.001602619,0.548087265,0.007425027,0.021592347,-366.5707909,0.238452174
7,0.635578737,0.006536905,34.77065791,5.507463733,31.90816413,0.3189,0.006138233,0.972748507,0.718110426,0.991068743,0.079561756,0.02,0.568487139,0.001242429,0.000228234,0.416316346,0.013725851,0.038506903,0.0053357,-366.571266,0.001945283
6,0.326789325,0.191937506,37.33017142,15.40001927,16.31142578,0.6855,0.044327127,0.923758148,0.782416407,0.969370783,0.314238196,0.02,0.517970166,0.006036165,0.000431917,0.006775736,0.468786015,0.045682818,0.007736334,-366.5791449,0.271054885
7,0.635900501,0.026379802,29.25670336,4.413922246,29.1163457,0.3189,0.004915973,0.984992609,0.707916037,0.985456351,0.11847497,0.02,0.632650893,0.005515414,0.000113986,0.039802472,0.321917235,0.012275685,0.005397238,-366.6084021,0.011348133
6,0.230608079,0.2823655,35.44302401,10.6730576,21.92811698,0.6855,0.122020831,0.901529768,0.722610736,0.88002055,0.078913099,0.02,0.620733432,0.001286375,0.000207632,0.0368658,0.340906762,0.049833887,0.030221022,-366.7551765,0.122850829
15,0.325463356,0.36684594,11.00512706,5.425743005,32.96000724,0.1491,0.003367526,0.995538589,0.539032507,0.888776445,0.999378987,0.02,0.605378409,0.040296113,0.000504571,0.282603285,0.071217622,0.107014339,0.009307257,-366.7582436,0.086339814
13,0.482801121,0.176088147,45.48276553,2.680536861,24.44969865,0.1083,0.004370009,0.866456796,0.660753522,0.983924879,0.622266977,0.02,0.753787191,0.001575365,0.000444696,0.242270506,0.001922242,0.066937674,0.026238968,-366.8368564,0.115202854
13,0.60716872,0.054403673,40.69108252,2.137342951,18.48239122,0.1083,0.002587391,0.868688522,0.662169487,0.983936191,0.283224493,0.02,0.635251486,0.000145963,0.000505789,0.361115955,0.002980807,0.033367219,0.060990598,-366.8914797,0.021234803
